Date,Open,High,Low,Close,Adj Close,Volume
2020-1-30,3256.449951,3285.909912,3242.800049,3283.659912,3283.659912,3787250000
2020-1-31,3282.330078,3282.330078,3214.679932,3225.52002,3225.52002,4527830000
2020-2-3,3235.659912,3268.439941,3235.659912,3248.919922,3248.919922,3757910000
2020-2-4,3280.610107,3306.919922,3280.610107,3297.590088,3297.590088,3995320000
2020-2-5,3324.909912,3337.580078,3313.75,3334.689941,3334.689941,4117730000
2020-2-6,3344.919922,3347.959961,3334.389893,3345.780029,3345.780029,3868370000
2020-2-7,3335.540039,3341.419922,3322.120117,3327.709961,3327.709961,3730650000
2020-2-10,3318.280029,3352.26001,3317.77002,3352.090088,3352.090088,3450350000
2020-2-11,3365.870117,3375.629883,3352.719971,3357.75,3357.75,3760550000
2020-2-12,3370.5,3381.469971,3369.719971,3379.449951,3379.449951,3926380000
2020-2-13,3365.899902,3385.090088,3360.52002,3373.939941,3373.939941,3498240000
2020-2-14,3378.080078,3380.689941,3366.149902,3380.159912,3380.159912,3398040000
2020-2-18,3369.040039,3375.01001,3355.610107,3370.290039,3370.290039,3746720000
2020-2-19,3380.389893,3393.52002,3378.830078,3386.149902,3386.149902,3600150000
2020-2-20,3380.449951,3389.149902,3341.02002,3373.22998,3373.22998,4007320000
2020-2-21,3360.5,3360.76001,3328.449951,3337.75,3337.75,3899270000
2020-2-24,3257.610107,3259.810059,3214.649902,3225.889893,3225.889893,4842960000
2020-2-25,3238.939941,3246.98999,3118.77002,3128.209961,3128.209961,5591510000
2020-2-26,3139.899902,3182.51001,3108.98999,3116.389893,3116.389893,5478110000
2020-2-27,3062.540039,3097.070068,2977.389893,2978.76001,2978.76001,7058840000
2020-2-28,2916.899902,2959.719971,2855.840088,2954.219971,2954.219971,8563850000
2020-3-2,2974.280029,3090.959961,2945.189941,3090.22998,3090.22998,6376400000
2020-3-3,3096.459961,3136.719971,2976.629883,3003.370117,3003.370117,6355940000
2020-3-4,3045.75,3130.969971,3034.379883,3130.120117,3130.120117,5035480000
2020-3-5,3075.699951,3083.040039,2999.830078,3023.939941,3023.939941,5575550000
2020-3-6,2954.199951,2985.929932,2901.540039,2972.370117,2972.370117,6552140000
2020-3-9,2863.889893,2863.889893,2734.429932,2746.560059,2746.560059,8423050000
2020-3-10,2813.47998,2882.590088,2734,2882.22998,2882.22998,7635960000
2020-3-11,2825.600098,2825.600098,2707.219971,2741.379883,2741.379883,7374110000
2020-3-12,2630.860107,2660.949951,2478.860107,2480.639893,2480.639893,8829380000
2020-3-13,2569.98999,2711.330078,2492.370117,2711.02002,2711.02002,8258670000
2020-3-16,2508.590088,2562.97998,2380.939941,2386.129883,2386.129883,7781540000
2020-3-17,2425.659912,2553.929932,2367.040039,2529.189941,2529.189941,8358500000
2020-3-18,2436.5,2453.570068,2280.52002,2398.100098,2398.100098,8755780000
2020-3-19,2393.47998,2466.969971,2319.780029,2409.389893,2409.389893,7946710000
2020-3-20,2431.939941,2453.01001,2295.560059,2304.919922,2304.919922,9044690000
2020-3-23,2290.709961,2300.72998,2191.860107,2237.399902,2237.399902,7402180000
2020-3-24,2344.439941,2449.709961,2344.439941,2447.330078,2447.330078,7547350000
2020-3-25,2457.77002,2571.419922,2407.530029,2475.560059,2475.560059,8285670000
2020-3-26,2501.290039,2637.01001,2500.719971,2630.070068,2630.070068,7753160000
2020-3-27,2555.870117,2615.909912,2520.02002,2541.469971,2541.469971,6194330000
2020-3-30,2558.97998,2631.800049,2545.280029,2626.649902,2626.649902,5746220000
2020-3-31,2614.689941,2641.389893,2571.149902,2584.590088,2584.590088,6568290000
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
